timestamp,act_lZygomaticusMajorLandmark,act_lDepressorAnguliOrisLandmark,act_lRisoriusLandmark,act_OrbicularisOrisCenter,act_rZygomaticusMajorLandmark,act_rDepressorAnguliOrisLandmark,act_rRisoriusLandmark,act_lFrontalisInsideLandmark,act_LCorrugatorSuperciliiLandmark,act_rFrontalisInsideLandmark,act_RCorrugatorSuperciliiLandmark,act_RLevatorLabiiSuperiorisLandmark,act_LLevatorLabiiSuperiorisLandmark,act_BridgeOfTheNose,act_LDepressorLabiiInferiorisLandmark,act_RDepressorLabiiInferiorisLandmark,act_lFrontalisOuterLandmark,act_rFrontalisOuterLandmark,act_LOrbicularisOculi,act_ROrbicularisOculi,str_lZygomaticusMajorLandmark,str_lDepressorAnguliOrisLandmark,str_lRisoriusLandmark,str_OrbicularisOrisCenter,str_rZygomaticusMajorLandmark,str_rDepressorAnguliOrisLandmark,str_rRisoriusLandmark,str_lFrontalisInsideLandmark,str_LCorrugatorSuperciliiLandmark,str_rFrontalisInsideLandmark,str_RCorrugatorSuperciliiLandmark,str_RLevatorLabiiSuperiorisLandmark,str_LLevatorLabiiSuperiorisLandmark,str_BridgeOfTheNose,str_LDepressorLabiiInferiorisLandmark,str_RDepressorLabiiInferiorisLandmark,str_lFrontalisOuterLandmark,str_rFrontalisOuterLandmark,str_LOrbicularisOculi,str_ROrbicularisOculi,str_JawSlide,iris_LEye_x,iris_LEye_y,iris_REye_x,iris_REye_y
0.3860,0.05286,0.00000,0.02958,0.00000,0.05163,0.00000,0.03995,0.01643,0.02707,0.01199,0.03145,0.05248,0.05678,0.04695,0.01159,0.02150,0.03300,0.02850,0.00000,0.00000,-0.05286,0.02139,-0.02958,0.02553,-0.05163,0.02047,-0.03995,-0.01643,-0.02707,-0.01199,-0.03145,-0.05248,-0.05678,-0.04695,-0.01159,-0.02150,-0.03300,-0.02850,0.07052,0.03680,0.01238,-0.02724,0.02469,-0.00248,0.02169
0.4258,0.05271,0.00000,0.02990,0.00000,0.05166,0.00000,0.04054,0.01657,0.02718,0.01203,0.03158,0.05246,0.05679,0.04695,0.01196,0.02187,0.03270,0.02783,0.00000,0.00000,-0.05271,0.02077,-0.02990,0.02531,-0.05166,0.02001,-0.04054,-0.01657,-0.02718,-0.01203,-0.03158,-0.05246,-0.05679,-0.04695,-0.01196,-0.02187,-0.03270,-0.02783,0.06934,0.03594,0.01269,-0.02730,0.02463,-0.00313,0.02158
0.4628,0.05273,0.00000,0.03088,0.00000,0.05193,0.00000,0.04164,0.01657,0.02716,0.01203,0.03158,0.05252,0.05691,0.04698,0.01246,0.02227,0.03253,0.02720,0.00000,0.00000,-0.05273,0.02020,-0.03088,0.02553,-0.05193,0.01975,-0.04164,-0.01657,-0.02716,-0.01203,-0.03158,-0.05252,-0.05691,-0.04698,-0.01246,-0.02227,-0.03253,-0.02720,0.06916,0.03553,0.01298,-0.02683,0.02502,-0.00274,0.02180
0.5046,0.05284,0.00000,0.03053,0.00000,0.05188,0.00000,0.04012,0.01645,0.02720,0.01192,0.03159,0.05248,0.05691,0.04696,0.01219,0.02191,0.03210,0.02653,0.00000,0.00000,-0.05284,0.02052,-0.03053,0.02442,-0.05188,0.02054,-0.04012,-0.01645,-0.02720,-0.01192,-0.03159,-0.05248,-0.05691,-0.04696,-0.01219,-0.02191,-0.03210,-0.02653,0.06896,0.03562,0.01320,-0.02616,0.02517,-0.00208,0.02171
0.5466,0.05311,0.00000,0.02924,0.00000,0.05193,0.00000,0.03854,0.01632,0.02737,0.01170,0.03187,0.05245,0.05696,0.04700,0.01120,0.02106,0.03188,0.02594,0.00000,0.00000,-0.05311,0.02170,-0.02924,0.02245,-0.05193,0.02188,-0.03854,-0.01632,-0.02737,-0.01170,-0.03187,-0.05245,-0.05696,-0.04700,-0.01120,-0.02106,-0.03188,-0.02594,0.06858,0.03591,0.01351,-0.02612,0.02526,-0.00179,0.02169
0.5865,0.05309,0.00000,0.02873,0.00000,0.05218,0.00000,0.03824,0.01639,0.02732,0.01180,0.03197,0.05245,0.05697,0.04703,0.01109,0.02107,0.03203,0.02643,0.00000,0.00000,-0.05309,0.02177,-0.02873,0.02129,-0.05218,0.02208,-0.03824,-0.01639,-0.02732,-0.01180,-0.03197,-0.05245,-0.05697,-0.04703,-0.01109,-0.02107,-0.03203,-0.02643,0.06811,0.03431,0.01346,-0.02687,0.02496,-0.00233,0.02146
0.6235,0.05285,0.00000,0.02742,0.00000,0.05227,0.00000,0.03797,0.01633,0.02726,0.01169,0.03206,0.05267,0.05716,0.04737,0.01111,0.02110,0.03183,0.02663,0.00000,0.00000,-0.05285,0.02209,-0.02742,0.01923,-0.05227,0.02207,-0.03797,-0.01633,-0.02726,-0.01169,-0.03206,-0.05267,-0.05716,-0.04737,-0.01111,-0.02110,-0.03183,-0.02663,0.06648,0.02991,0.01335,-0.02806,0.02415,-0.00293,0.02106
0.6628,0.05272,0.00000,0.02714,0.00000,0.05224,0.00000,0.03775,0.01621,0.02724,0.01161,0.03204,0.05271,0.05720,0.04746,0.01152,0.02139,0.03166,0.02656,0.00000,0.00000,-0.05272,0.02198,-0.02714,0.01861,-0.05224,0.02207,-0.03775,-0.01621,-0.02724,-0.01161,-0.03204,-0.05271,-0.05720,-0.04746,-0.01152,-0.02139,-0.03166,-0.02656,0.06534,0.02720,0.01332,-0.02943,0.02363,-0.00338,0.02077
0.7000,0.05244,0.00000,0.02653,0.00000,0.05188,0.00000,0.03689,0.01617,0.02723,0.01156,0.03209,0.05284,0.05735,0.04756,0.01171,0.02142,0.03171,0.02647,0.00000,0.00000,-0.05244,0.02215,-0.02653,0.01750,-0.05188,0.02240,-0.03689,-0.01617,-0.02723,-0.01156,-0.03209,-0.05284,-0.05735,-0.04756,-0.01171,-0.02142,-0.03171,-0.02647,0.06309,0.02471,0.01304,-0.02958,0.02242,-0.00294,0.02028
0.7390,0.05232,0.00000,0.02636,0.00000,0.05190,0.00000,0.03709,0.01615,0.02725,0.01145,0.03213,0.05294,0.05755,0.04771,0.01170,0.02146,0.03162,0.02638,0.00000,0.00000,-0.05232,0.02213,-0.02636,0.01679,-0.05190,0.02235,-0.03709,-0.01615,-0.02725,-0.01145,-0.03213,-0.05294,-0.05755,-0.04771,-0.01170,-0.02146,-0.03162,-0.02638,0.06216,0.02441,0.01305,-0.02963,0.02241,-0.00304,0.02035
