timestamp,act_lZygomaticusMajorLandmark,act_lDepressorAnguliOrisLandmark,act_lRisoriusLandmark,act_OrbicularisOrisCenter,act_rZygomaticusMajorLandmark,act_rDepressorAnguliOrisLandmark,act_rRisoriusLandmark,act_lFrontalisInsideLandmark,act_LCorrugatorSuperciliiLandmark,act_rFrontalisInsideLandmark,act_RCorrugatorSuperciliiLandmark,act_RLevatorLabiiSuperiorisLandmark,act_LLevatorLabiiSuperiorisLandmark,act_BridgeOfTheNose,act_LDepressorLabiiInferiorisLandmark,act_RDepressorLabiiInferiorisLandmark,act_lFrontalisOuterLandmark,act_rFrontalisOuterLandmark,act_LOrbicularisOculi,act_ROrbicularisOculi,str_lZygomaticusMajorLandmark,str_lDepressorAnguliOrisLandmark,str_lRisoriusLandmark,str_OrbicularisOrisCenter,str_rZygomaticusMajorLandmark,str_rDepressorAnguliOrisLandmark,str_rRisoriusLandmark,str_lFrontalisInsideLandmark,str_LCorrugatorSuperciliiLandmark,str_rFrontalisInsideLandmark,str_RCorrugatorSuperciliiLandmark,str_RLevatorLabiiSuperiorisLandmark,str_LLevatorLabiiSuperiorisLandmark,str_BridgeOfTheNose,str_LDepressorLabiiInferiorisLandmark,str_RDepressorLabiiInferiorisLandmark,str_lFrontalisOuterLandmark,str_rFrontalisOuterLandmark,str_LOrbicularisOculi,str_ROrbicularisOculi,str_JawSlide,iris_LEye_x,iris_LEye_y,iris_REye_x,iris_REye_y
34.4081,0.01697,0.02765,0.02354,0.00000,0.01874,0.03513,0.02683,0.02626,0.01181,0.03226,0.00419,0.03054,0.02938,0.02081,0.03891,0.03961,0.02377,0.02955,0.00616,0.00829,-0.01697,-0.02765,-0.02354,0.00596,-0.01874,-0.03513,-0.02683,-0.02626,-0.01181,-0.03226,-0.00419,-0.03054,-0.02938,-0.02081,-0.03891,-0.03961,-0.02377,-0.02955,-0.00616,-0.00829,0.00031,0.00989,0.02584,0.00168,0.00482
34.4477,0.01668,0.02786,0.02312,0.00000,0.01806,0.03565,0.02627,0.02574,0.01280,0.03192,0.00473,0.03048,0.02918,0.02096,0.03918,0.03981,0.02311,0.02970,0.00000,0.00000,-0.01668,-0.02786,-0.02312,0.00618,-0.01806,-0.03565,-0.02627,-0.02574,-0.01280,-0.03192,-0.00473,-0.03048,-0.02918,-0.02096,-0.03918,-0.03981,-0.02311,-0.02970,0.00141,0.00188,0.00029,0.01023,0.02798,0.00193,0.00630
34.4857,0.01642,0.02799,0.02267,0.00000,0.01745,0.03616,0.02581,0.02500,0.01411,0.03147,0.00546,0.03030,0.02888,0.02107,0.03926,0.03993,0.02233,0.02990,0.00000,0.00000,-0.01642,-0.02799,-0.02267,0.00660,-0.01745,-0.03616,-0.02581,-0.02500,-0.01411,-0.03147,-0.00546,-0.03030,-0.02888,-0.02107,-0.03926,-0.03993,-0.02233,-0.02990,0.00893,0.01204,0.00028,0.01013,0.03005,0.00223,0.00804
34.5266,0.01587,0.02807,0.02220,0.00000,0.01667,0.03667,0.02530,0.02443,0.01508,0.03082,0.00647,0.03019,0.02870,0.02108,0.03982,0.04051,0.02164,0.02951,0.00000,0.00000,-0.01587,-0.02807,-0.02220,0.00683,-0.01667,-0.03667,-0.02530,-0.02443,-0.01508,-0.03082,-0.00647,-0.03019,-0.02870,-0.02108,-0.03982,-0.04051,-0.02164,-0.02951,0.01824,0.02243,0.00021,0.00939,0.03138,0.00221,0.00945
34.5665,0.01543,0.02741,0.02186,0.00000,0.01594,0.03633,0.02448,0.02388,0.01593,0.03030,0.00752,0.03013,0.02842,0.02092,0.03892,0.03965,0.02027,0.02872,0.00000,0.00000,-0.01543,-0.02741,-0.02186,0.00660,-0.01594,-0.03633,-0.02448,-0.02388,-0.01593,-0.03030,-0.00752,-0.03013,-0.02842,-0.02092,-0.03892,-0.03965,-0.02027,-0.02872,0.03052,0.03747,0.00009,0.00899,0.03437,0.00241,0.01040
34.6060,0.01425,0.02844,0.02056,0.00000,0.01540,0.03576,0.02357,0.02333,0.01619,0.02993,0.00802,0.02964,0.02812,0.02076,0.03867,0.03974,0.01822,0.02825,0.00000,0.00000,-0.01425,-0.02844,-0.02056,0.00530,-0.01540,-0.03576,-0.02357,-0.02333,-0.01619,-0.02993,-0.00802,-0.02964,-0.02812,-0.02076,-0.03867,-0.03974,-0.01822,-0.02825,0.04063,0.04801,-0.00014,0.00879,0.03580,0.00254,0.00976
34.6468,0.01355,0.02970,0.01976,0.00000,0.01495,0.03595,0.02286,0.02315,0.01626,0.02993,0.00820,0.02925,0.02793,0.02062,0.03915,0.04028,0.01788,0.02807,0.00000,0.00000,-0.01355,-0.02970,-0.01976,0.00468,-0.01495,-0.03595,-0.02286,-0.02315,-0.01626,-0.02993,-0.00820,-0.02925,-0.02793,-0.02062,-0.03915,-0.04028,-0.01788,-0.02807,0.05083,0.05899,-0.00033,0.00884,0.03736,0.00292,0.00882
34.6860,0.01301,0.02949,0.01856,0.00000,0.01461,0.03615,0.02262,0.02275,0.01654,0.02954,0.00846,0.02914,0.02794,0.02073,0.03944,0.04084,0.01736,0.02793,0.00000,0.00000,-0.01301,-0.02949,-0.01856,0.00415,-0.01461,-0.03615,-0.02262,-0.02275,-0.01654,-0.02954,-0.00846,-0.02914,-0.02794,-0.02073,-0.03944,-0.04084,-0.01736,-0.02793,0.05789,0.06784,-0.00034,0.00895,0.03752,0.00368,0.00876
34.7250,0.01284,0.02891,0.01749,0.00000,0.01424,0.03612,0.02183,0.02301,0.01738,0.02986,0.00895,0.02923,0.02793,0.02081,0.03969,0.04131,0.01777,0.02831,0.00000,0.00000,-0.01284,-0.02891,-0.01749,0.00281,-0.01424,-0.03612,-0.02183,-0.02301,-0.01738,-0.02986,-0.00895,-0.02923,-0.02793,-0.02081,-0.03969,-0.04131,-0.01777,-0.02831,0.06389,0.07533,-0.00036,0.00871,0.03785,0.00432,0.00822
34.7642,0.01251,0.02879,0.01640,0.00000,0.01410,0.03646,0.02181,0.02264,0.01851,0.02950,0.00991,0.02904,0.02786,0.02100,0.04030,0.04211,0.01747,0.02802,0.00000,0.00000,-0.01251,-0.02879,-0.01640,0.00254,-0.01410,-0.03646,-0.02181,-0.02264,-0.01851,-0.02950,-0.00991,-0.02904,-0.02786,-0.02100,-0.04030,-0.04211,-0.01747,-0.02802,0.06944,0.08234,-0.00033,0.00893,0.03869,0.00485,0.00961
34.8026,0.01204,0.02966,0.01575,0.00000,0.01381,0.03756,0.02193,0.02235,0.01928,0.02911,0.01076,0.02845,0.02752,0.02086,0.04160,0.04372,0.01717,0.02763,0.00000,0.00000,-0.01204,-0.02966,-0.01575,0.00244,-0.01381,-0.03756,-0.02193,-0.02235,-0.01928,-0.02911,-0.01076,-0.02845,-0.02752,-0.02086,-0.04160,-0.04372,-0.01717,-0.02763,0.07449,0.08876,-0.00026,0.00889,0.03950,0.00519,0.01068
34.8421,0.01229,0.02937,0.01598,0.00000,0.01391,0.03745,0.02228,0.02169,0.01984,0.02866,0.01095,0.02860,0.02762,0.02092,0.04187,0.04386,0.01615,0.02746,0.00000,0.00000,-0.01229,-0.02937,-0.01598,0.00297,-0.01391,-0.03745,-0.02228,-0.02169,-0.01984,-0.02866,-0.01095,-0.02860,-0.02762,-0.02092,-0.04187,-0.04386,-0.01615,-0.02746,0.08089,0.09626,-0.00031,0.00901,0.03977,0.00559,0.01206
34.8817,0.01500,0.02578,0.01985,0.00000,0.01524,0.03626,0.02403,0.02148,0.02030,0.02864,0.01104,0.02905,0.02804,0.02129,0.04140,0.04322,0.01619,0.02840,0.00000,0.00000,-0.01500,-0.02578,-0.01985,0.00571,-0.01524,-0.03626,-0.02403,-0.02148,-0.02030,-0.02864,-0.01104,-0.02905,-0.02804,-0.02129,-0.04140,-0.04322,-0.01619,-0.02840,0.08794,0.10482,-0.00059,0.00917,0.03957,0.00570,0.01286
34.9217,0.02296,0.01485,0.03047,0.00000,0.01918,0.03226,0.02791,0.02209,0.02028,0.02938,0.01043,0.03130,0.02887,0.02197,0.04091,0.04245,0.01753,0.03028,0.00000,0.00000,-0.02296,-0.01485,-0.03047,0.01151,-0.01918,-0.03226,-0.02791,-0.02209,-0.02028,-0.02938,-0.01043,-0.03130,-0.02887,-0.02197,-0.04091,-0.04245,-0.01753,-0.03028,0.09718,0.11726,-0.00143,0.00928,0.03885,0.00595,0.01378
34.9614,0.04249,0.00000,0.05853,0.00000,0.03226,0.02467,0.04727,0.02392,0.01709,0.03124,0.00644,0.03787,0.03165,0.02422,0.03961,0.04097,0.02155,0.03451,0.00000,0.00000,-0.04249,0.00875,-0.05853,0.03837,-0.03226,-0.02467,-0.04727,-0.02392,-0.01709,-0.03124,-0.00644,-0.03787,-0.03165,-0.02422,-0.03961,-0.04097,-0.02155,-0.03451,0.11042,0.13526,-0.00173,0.00953,0.03459,0.00632,0.01375
34.9995,0.06400,0.00000,0.08482,0.00000,0.05201,0.01956,0.07570,0.02704,0.01417,0.03509,0.00260,0.05045,0.03855,0.02783,0.04537,0.04492,0.02699,0.03949,0.00000,0.00000,-0.06400,0.02206,-0.08482,0.08036,-0.05201,-0.01956,-0.07570,-0.02704,-0.01417,-0.03509,-0.00260,-0.05045,-0.03855,-0.02783,-0.04537,-0.04492,-0.02699,-0.03949,0.11822,0.15540,-0.00184,0.00952,0.03175,0.00724,0.01545
35.0388,0.08317,0.00000,0.11269,0.00000,0.06771,0.01645,0.09900,0.02840,0.01203,0.03781,0.00000,0.06076,0.04349,0.03168,0.04862,0.04685,0.03120,0.04320,0.00000,0.00000,-0.08317,0.02956,-0.11269,0.12066,-0.06771,-0.01645,-0.09900,-0.02840,-0.01203,-0.03781,0.00032,-0.06076,-0.04349,-0.03168,-0.04862,-0.04685,-0.03120,-0.04320,0.12804,0.16813,-0.00259,0.01064,0.03017,0.01005,0.01955
35.0779,0.10101,0.00000,0.13057,0.00000,0.08523,0.01915,0.12152,0.03073,0.01045,0.04154,0.00000,0.07400,0.05380,0.03974,0.05994,0.05871,0.03764,0.04894,0.00000,0.00000,-0.10101,0.03248,-0.13057,0.16371,-0.08523,-0.01915,-0.12152,-0.03073,-0.01045,-0.04154,0.00246,-0.07400,-0.05380,-0.03974,-0.05994,-0.05871,-0.03764,-0.04894,0.13429,0.17729,-0.00312,0.01103,0.03183,0.01228,0.02212
35.1159,0.11091,0.00000,0.13257,0.00000,0.09703,0.02117,0.12608,0.03409,0.00891,0.04471,0.00000,0.08897,0.06759,0.04948,0.07223,0.06985,0.04523,0.05245,0.00000,0.00000,-0.11091,0.02751,-0.13257,0.18163,-0.09703,-0.02117,-0.12608,-0.03409,-0.00891,-0.04471,0.00288,-0.08897,-0.06759,-0.04948,-0.07223,-0.06985,-0.04523,-0.05245,0.13699,0.18310,-0.00365,0.01152,0.03416,0.01332,0.02392
35.1555,0.12470,0.00000,0.14449,0.00000,0.11103,0.00474,0.13835,0.03887,0.00507,0.04752,0.00000,0.10078,0.08008,0.05844,0.06440,0.06294,0.05252,0.05393,0.00000,0.00000,-0.12470,0.04593,-0.14449,0.20787,-0.11103,-0.00474,-0.13835,-0.03887,-0.00507,-0.04752,0.00648,-0.10078,-0.08008,-0.05844,-0.06440,-0.06294,-0.05252,-0.05393,0.14012,0.18319,-0.00406,0.01201,0.03683,0.01510,0.02854
35.1934,0.13582,0.00000,0.15354,0.00000,0.12243,0.00000,0.14960,0.04506,0.00009,0.05306,0.00000,0.10849,0.08913,0.06551,0.05930,0.05854,0.05719,0.05630,0.00000,0.00000,-0.13582,0.05637,-0.15354,0.22970,-0.12243,0.00397,-0.14960,-0.04506,-0.00009,-0.05306,0.01381,-0.10849,-0.08913,-0.06551,-0.05930,-0.05854,-0.05719,-0.05630,0.13361,0.18016,-0.00443,0.01299,0.03778,0.01618,0.03382
35.2313,0.14289,0.00000,0.15758,0.00000,0.12936,0.00000,0.15542,0.04716,0.00030,0.05577,0.00000,0.11372,0.09499,0.07009,0.05236,0.05164,0.05635,0.05717,0.00000,0.00000,-0.14289,0.06544,-0.15758,0.24393,-0.12936,0.01183,-0.15542,-0.04716,-0.00030,-0.05577,0.01710,-0.11372,-0.09499,-0.07009,-0.05236,-0.05164,-0.05635,-0.05717,0.12130,0.17679,-0.00486,0.01348,0.03778,0.01727,0.03848
35.2685,0.14704,0.00000,0.15461,0.00000,0.13492,0.00000,0.15184,0.04860,0.00376,0.05722,0.00000,0.11983,0.10248,0.07459,0.04779,0.04589,0.05743,0.05839,0.00000,0.00000,-0.14704,0.06984,-0.15461,0.24524,-0.13492,0.02084,-0.15184,-0.04860,-0.00376,-0.05722,0.01604,-0.11983,-0.10248,-0.07459,-0.04779,-0.04589,-0.05743,-0.05839,0.11102,0.17250,-0.00516,0.01364,0.03834,0.01775,0.04165
35.3064,0.15310,0.00000,0.15550,0.00000,0.14228,0.00000,0.15223,0.04979,0.00490,0.05809,0.00000,0.12531,0.10931,0.07791,0.04841,0.04633,0.05872,0.05899,0.00000,0.00000,-0.15310,0.07778,-0.15550,0.25487,-0.14228,0.02975,-0.15223,-0.04979,-0.00490,-0.05809,0.01493,-0.12531,-0.10931,-0.07791,-0.04841,-0.04633,-0.05872,-0.05899,0.10994,0.16903,-0.00550,0.01441,0.03957,0.01833,0.04409
35.3450,0.15491,0.00000,0.15646,0.00000,0.14658,0.00000,0.15507,0.05098,0.00487,0.05908,0.00000,0.12701,0.11272,0.07920,0.04806,0.04605,0.05844,0.05915,0.00000,0.00000,-0.15491,0.07788,-0.15646,0.26200,-0.14658,0.03324,-0.15507,-0.05098,-0.00487,-0.05908,0.01441,-0.12701,-0.11272,-0.07920,-0.04806,-0.04605,-0.05844,-0.05915,0.10174,0.16130,-0.00573,0.01603,0.04178,0.01985,0.04608
35.3853,0.15801,0.00000,0.15862,0.00000,0.15080,0.00000,0.15598,0.05161,0.00703,0.05949,0.00000,0.12919,0.11573,0.08117,0.04641,0.04367,0.05859,0.05920,0.00000,0.00000,-0.15801,0.08009,-0.15862,0.26551,-0.15080,0.03862,-0.15598,-0.05161,-0.00703,-0.05949,0.01239,-0.12919,-0.11573,-0.08117,-0.04641,-0.04367,-0.05859,-0.05920,0.08984,0.15302,-0.00582,0.01664,0.04346,0.02087,0.04771
35.4249,0.16089,0.00000,0.16262,0.00000,0.15296,0.00000,0.15808,0.05191,0.00966,0.05969,0.00000,0.13084,0.11683,0.08285,0.04706,0.04414,0.05929,0.05962,0.00000,0.00000,-0.16089,0.08188,-0.16262,0.26909,-0.15296,0.03796,-0.15808,-0.05191,-0.00966,-0.05969,0.00990,-0.13084,-0.11683,-0.08285,-0.04706,-0.04414,-0.05929,-0.05962,0.07270,0.13792,-0.00619,0.01728,0.04699,0.02183,0.04932
35.4646,0.16265,0.00000,0.16529,0.00000,0.15533,0.00000,0.16032,0.05370,0.00716,0.06110,0.00000,0.13079,0.11692,0.08306,0.05163,0.04845,0.06134,0.06017,0.00000,0.00000,-0.16265,0.07814,-0.16529,0.27247,-0.15533,0.03506,-0.16032,-0.05370,-0.00716,-0.06110,0.01145,-0.13079,-0.11692,-0.08306,-0.05163,-0.04845,-0.06134,-0.06017,0.06349,0.12688,-0.00657,0.01808,0.04857,0.02189,0.04933
35.5031,0.16251,0.00000,0.16518,0.00000,0.15627,0.00000,0.16153,0.05608,0.00446,0.06254,0.00000,0.13051,0.11702,0.08305,0.05149,0.04795,0.06579,0.06033,0.00000,0.00000,-0.16251,0.07731,-0.16518,0.27335,-0.15627,0.03543,-0.16153,-0.05608,-0.00446,-0.06254,0.01256,-0.13051,-0.11702,-0.08305,-0.05149,-0.04795,-0.06579,-0.06033,0.06202,0.12311,-0.00684,0.01872,0.04889,0.02279,0.04920
35.5410,0.16268,0.00000,0.16545,0.00000,0.15692,0.00000,0.16255,0.05693,0.00538,0.06321,0.00000,0.12957,0.11616,0.08271,0.05159,0.04824,0.06686,0.06063,0.00000,0.00000,-0.16268,0.07720,-0.16545,0.27727,-0.15692,0.03500,-0.16255,-0.05693,-0.00538,-0.06321,0.01141,-0.12957,-0.11616,-0.08271,-0.05159,-0.04824,-0.06686,-0.06063,0.04897,0.10989,-0.00695,0.01968,0.05114,0.02347,0.04981
35.5800,0.16401,0.00000,0.16580,0.00000,0.15818,0.00000,0.16339,0.05729,0.00577,0.06376,0.00000,0.12926,0.11582,0.08300,0.04984,0.04660,0.06708,0.06069,0.00000,0.00000,-0.16401,0.07998,-0.16580,0.27873,-0.15818,0.03692,-0.16339,-0.05729,-0.00577,-0.06376,0.01103,-0.12926,-0.11582,-0.08300,-0.04984,-0.04660,-0.06708,-0.06069,0.04365,0.10357,-0.00708,0.02060,0.05166,0.02382,0.04917
35.6184,0.16508,0.00000,0.16632,0.00000,0.15910,0.00000,0.16449,0.05790,0.00677,0.06442,0.00000,0.12904,0.11535,0.08289,0.04841,0.04561,0.06729,0.06082,0.00000,0.00000,-0.16508,0.08322,-0.16632,0.28143,-0.15910,0.03799,-0.16449,-0.05790,-0.00677,-0.06442,0.00983,-0.12904,-0.11535,-0.08289,-0.04841,-0.04561,-0.06729,-0.06082,0.03650,0.09387,-0.00732,0.02128,0.05293,0.02395,0.04943
35.6573,0.16674,0.00000,0.16719,0.00000,0.16031,0.00000,0.16492,0.05718,0.00810,0.06421,0.00000,0.12960,0.11554,0.08338,0.04637,0.04391,0.06601,0.06132,0.00000,0.00000,-0.16674,0.08728,-0.16719,0.28542,-0.16031,0.04048,-0.16492,-0.05718,-0.00810,-0.06421,0.00866,-0.12960,-0.11554,-0.08338,-0.04637,-0.04391,-0.06601,-0.06132,0.02699,0.07669,-0.00739,0.02141,0.05443,0.02376,0.05055
35.6966,0.16721,0.00000,0.16752,0.00000,0.16133,0.00000,0.16453,0.05702,0.00803,0.06430,0.00000,0.12960,0.11574,0.08327,0.04541,0.04286,0.06499,0.06121,0.00000,0.00000,-0.16721,0.08796,-0.16752,0.28747,-0.16133,0.04288,-0.16453,-0.05702,-0.00803,-0.06430,0.00880,-0.12960,-0.11574,-0.08327,-0.04541,-0.04286,-0.06499,-0.06121,0.02314,0.06815,-0.00709,0.02083,0.05297,0.02396,0.04941
35.7352,0.16840,0.00000,0.16790,0.00000,0.16225,0.00000,0.16334,0.05636,0.00863,0.06387,0.00000,0.12972,0.11578,0.08325,0.04477,0.04217,0.06378,0.06069,0.00000,0.00000,-0.16840,0.08851,-0.16790,0.28813,-0.16225,0.04415,-0.16334,-0.05636,-0.00863,-0.06387,0.00876,-0.12972,-0.11578,-0.08325,-0.04477,-0.04217,-0.06378,-0.06069,0.02007,0.06150,-0.00694,0.02016,0.05183,0.02433,0.04885
35.7728,0.16943,0.00000,0.16800,0.00000,0.16327,0.00000,0.16323,0.05575,0.00976,0.06328,0.00000,0.12965,0.11564,0.08340,0.04344,0.04081,0.06284,0.05979,0.00000,0.00000,-0.16943,0.08941,-0.16800,0.28796,-0.16327,0.04535,-0.16323,-0.05575,-0.00976,-0.06328,0.00748,-0.12965,-0.11564,-0.08340,-0.04344,-0.04081,-0.06284,-0.05979,0.01791,0.05536,-0.00665,0.02006,0.04981,0.02448,0.04792
35.8138,0.16986,0.00000,0.16738,0.00000,0.16342,0.00000,0.16326,0.05569,0.01013,0.06319,0.00000,0.12923,0.11513,0.08318,0.04279,0.04010,0.06236,0.05917,0.00000,0.00000,-0.16986,0.08939,-0.16738,0.28679,-0.16342,0.04563,-0.16326,-0.05569,-0.01013,-0.06319,0.00693,-0.12923,-0.11513,-0.08318,-0.04279,-0.04010,-0.06236,-0.05917,0.01685,0.05106,-0.00607,0.02014,0.04801,0.02452,0.04718
35.8532,0.16961,0.00000,0.16644,0.00000,0.16354,0.00000,0.16343,0.05591,0.00995,0.06338,0.00000,0.12871,0.11471,0.08280,0.04298,0.04084,0.06207,0.05900,0.00000,0.00000,-0.16961,0.08898,-0.16644,0.28462,-0.16354,0.04434,-0.16343,-0.05591,-0.00995,-0.06338,0.00687,-0.12871,-0.11471,-0.08280,-0.04298,-0.04084,-0.06207,-0.05900,0.01730,0.04914,-0.00554,0.02030,0.04667,0.02450,0.04654
35.8913,0.16930,0.00000,0.16571,0.00000,0.16355,0.00000,0.16383,0.05610,0.00994,0.06368,0.00000,0.12831,0.11437,0.08257,0.04334,0.04169,0.06190,0.05920,0.00000,0.00000,-0.16930,0.08837,-0.16571,0.28263,-0.16355,0.04289,-0.16383,-0.05610,-0.00994,-0.06368,0.00688,-0.12831,-0.11437,-0.08257,-0.04334,-0.04169,-0.06190,-0.05920,0.01835,0.04848,-0.00502,0.02049,0.04547,0.02470,0.04568
35.9287,0.16810,0.00000,0.16642,0.00000,0.16246,0.00000,0.16392,0.05689,0.01003,0.06440,0.00000,0.12762,0.11394,0.08227,0.04536,0.04422,0.06195,0.05944,0.00000,0.00000,-0.16810,0.08453,-0.16642,0.28112,-0.16246,0.03920,-0.16392,-0.05689,-0.01003,-0.06440,0.00652,-0.12762,-0.11394,-0.08227,-0.04536,-0.04422,-0.06195,-0.05944,0.00540,0.03279,-0.00471,0.01024,0.04611,0.01337,0.04543
35.9683,0.16632,0.00000,0.16573,0.00000,0.16133,0.00000,0.16316,0.05751,0.01095,0.06495,0.00000,0.12676,0.11345,0.08189,0.04692,0.04607,0.06150,0.05956,0.01001,0.00000,-0.16632,0.08116,-0.16573,0.27741,-0.16133,0.03741,-0.16316,-0.05751,-0.01095,-0.06495,0.00583,-0.12676,-0.11345,-0.08189,-0.04692,-0.04607,-0.06150,-0.05956,-0.01001,0.01842,-0.00417,-0.01335,0.04804,-0.00926,0.04552
36.0084,0.16453,0.00000,0.16399,0.00000,0.16020,0.00000,0.16200,0.05822,0.01173,0.06539,0.00000,0.12556,0.11269,0.08125,0.04805,0.04744,0.06102,0.05947,0.02518,0.00000,-0.16453,0.07857,-0.16399,0.27449,-0.16020,0.03633,-0.16200,-0.05822,-0.01173,-0.06539,0.00501,-0.12556,-0.11269,-0.08125,-0.04805,-0.04744,-0.06102,-0.05947,-0.02518,0.00412,-0.00395,-0.02380,0.04919,-0.01683,0.04455
36.0476,0.16249,0.00000,0.16201,0.00000,0.15862,0.00000,0.16083,0.05848,0.01224,0.06567,0.00000,0.12447,0.11192,0.08069,0.04916,0.04848,0.06097,0.05951,0.03344,0.00559,-0.16249,0.07576,-0.16201,0.27191,-0.15862,0.03477,-0.16083,-0.05848,-0.01224,-0.06567,0.00458,-0.12447,-0.11192,-0.08069,-0.04916,-0.04848,-0.06097,-0.05951,-0.03344,-0.00559,-0.00380,-0.02703,0.04923,-0.01901,0.04416
36.0857,0.16133,0.00000,0.16040,0.00000,0.15780,0.00000,0.15981,0.05854,0.01247,0.06581,0.00000,0.12369,0.11135,0.08030,0.04963,0.04901,0.06026,0.05934,0.03745,0.01236,-0.16133,0.07419,-0.16040,0.26929,-0.15780,0.03386,-0.15981,-0.05854,-0.01247,-0.06581,0.00433,-0.12369,-0.11135,-0.08030,-0.04963,-0.04901,-0.06026,-0.05934,-0.03745,-0.01236,-0.00368,-0.02824,0.04821,-0.02037,0.04342
36.1242,0.16064,0.00000,0.16029,0.00000,0.15725,0.00000,0.15962,0.05905,0.01193,0.06612,0.00000,0.12296,0.11078,0.07973,0.05048,0.04984,0.05966,0.05891,0.04122,0.01731,-0.16064,0.07266,-0.16029,0.26837,-0.15725,0.03276,-0.15962,-0.05905,-0.01193,-0.06612,0.00440,-0.12296,-0.11078,-0.07973,-0.05048,-0.04984,-0.05966,-0.05891,-0.04122,-0.01731,-0.00364,-0.02833,0.04731,-0.01984,0.04229
36.1633,0.16016,0.00000,0.16035,0.00000,0.15680,0.00000,0.15965,0.05954,0.01151,0.06652,0.00000,0.12230,0.11032,0.07946,0.05054,0.04997,0.05943,0.05884,0.04347,0.02076,-0.16016,0.07163,-0.16035,0.26834,-0.15680,0.03217,-0.15965,-0.05954,-0.01151,-0.06652,0.00460,-0.12230,-0.11032,-0.07946,-0.05054,-0.04997,-0.05943,-0.05884,-0.04347,-0.02076,-0.00367,-0.02821,0.04659,-0.01938,0.04162
36.2025,0.15959,0.00000,0.16015,0.00000,0.15613,0.00000,0.15949,0.05980,0.01153,0.06687,0.00000,0.12172,0.10989,0.07914,0.05069,0.05034,0.05937,0.05892,0.04554,0.02394,-0.15959,0.07056,-0.16015,0.26777,-0.15613,0.03159,-0.15949,-0.05980,-0.01153,-0.06687,0.00461,-0.12172,-0.10989,-0.07914,-0.05069,-0.05034,-0.05937,-0.05892,-0.04554,-0.02394,-0.00366,-0.02792,0.04563,-0.01909,0.04106
36.2416,0.15934,0.00000,0.16045,0.00000,0.15585,0.00000,0.15974,0.06005,0.01105,0.06714,0.00000,0.12142,0.10961,0.07891,0.05136,0.05105,0.05958,0.05903,0.04585,0.02467,-0.15934,0.06985,-0.16045,0.26795,-0.15585,0.03068,-0.15974,-0.06005,-0.01105,-0.06714,0.00500,-0.12142,-0.10961,-0.07891,-0.05136,-0.05105,-0.05958,-0.05903,-0.04585,-0.02467,-0.00374,-0.02733,0.04521,-0.01872,0.04073
36.2798,0.15911,0.00000,0.16064,0.00000,0.15543,0.00000,0.15980,0.05997,0.01064,0.06715,0.00000,0.12117,0.10922,0.07874,0.05140,0.05106,0.05959,0.05902,0.04426,0.02457,-0.15911,0.06990,-0.16064,0.26782,-0.15543,0.03042,-0.15980,-0.05997,-0.01064,-0.06715,0.00519,-0.12117,-0.10922,-0.07874,-0.05140,-0.05106,-0.05959,-0.05902,-0.04426,-0.02457,-0.00377,-0.02698,0.04501,-0.01843,0.04073
36.3200,0.15768,0.00000,0.15899,0.00000,0.15377,0.00000,0.15942,0.05999,0.01058,0.06714,0.00000,0.12026,0.10850,0.07820,0.05119,0.05139,0.05976,0.05934,0.04278,0.02439,-0.15768,0.06941,-0.15899,0.26611,-0.15377,0.02927,-0.15942,-0.05999,-0.01058,-0.06714,0.00530,-0.12026,-0.10850,-0.07820,-0.05119,-0.05139,-0.05976,-0.05934,-0.04278,-0.02439,-0.00339,-0.02668,0.04464,-0.01826,0.04085
36.3596,0.15631,0.00000,0.15465,0.00000,0.15304,0.00000,0.15899,0.05991,0.01052,0.06707,0.00000,0.11947,0.10805,0.07760,0.05123,0.05207,0.05962,0.05946,0.04182,0.02453,-0.15631,0.07005,-0.15465,0.26221,-0.15304,0.02870,-0.15899,-0.05991,-0.01052,-0.06707,0.00543,-0.11947,-0.10805,-0.07760,-0.05123,-0.05207,-0.05962,-0.05946,-0.04182,-0.02453,-0.00252,-0.02636,0.04408,-0.01720,0.04048
36.3982,0.15535,0.00000,0.15194,0.00000,0.15244,0.00000,0.15843,0.05966,0.01030,0.06684,0.00000,0.11872,0.10755,0.07712,0.05089,0.05212,0.05955,0.05937,0.04094,0.02476,-0.15535,0.07052,-0.15194,0.26031,-0.15244,0.02848,-0.15843,-0.05966,-0.01030,-0.06684,0.00560,-0.11872,-0.10755,-0.07712,-0.05089,-0.05212,-0.05955,-0.05937,-0.04094,-0.02476,-0.00223,-0.02573,0.04315,-0.01664,0.04002
36.4372,0.15459,0.00000,0.15056,0.00000,0.15182,0.00000,0.15764,0.05947,0.00998,0.06656,0.00000,0.11809,0.10714,0.07638,0.05048,0.05206,0.05959,0.05929,0.03940,0.02422,-0.15459,0.07180,-0.15056,0.25923,-0.15182,0.02916,-0.15764,-0.05947,-0.00998,-0.06656,0.00580,-0.11809,-0.10714,-0.07638,-0.05048,-0.05206,-0.05959,-0.05929,-0.03940,-0.02422,-0.00208,-0.02556,0.04276,-0.01631,0.03947
